frequency,amplitude
1522.27,0.00035
1524.02,0.000353
1525.78,0.000401
1527.54,0.000226
1529.3,0.00039
1531.05,0.00018
1532.81,0.000628
1534.57,0.000761
1536.33,0.000424
1538.09,0.000161
1539.84,0.000514
1541.6,0.000148
1543.36,0.000386
1545.12,0.000725
1546.88,0.000818
1548.63,0.000814
1550.39,0.000843
1552.15,0.000481
1553.91,0.000421
1555.66,0.000407
1557.42,0.00069
1559.18,0.000626
1560.94,0.000666
1562.7,0.000674
1564.45,0.000725
1566.21,0.000568
1567.97,0.000447
1569.73,0.000528
1571.48,0.000138
1573.24,0.000595
1575,0.000561
1576.76,0.000194
1578.52,0.000187
1580.27,0.000215
1582.03,0.000582
1583.79,0.000174
1585.55,0.000388
1587.3,0.000373
1589.06,0.000519
1590.82,0.000619
1592.58,0.00043
1594.34,0.0006
1596.09,0.000203
1597.85,0.000207
1599.61,0.000233
1601.37,0.000478
1603.13,0.000321
1604.88,0.00025
1606.64,0.000406
1608.4,0.000553
1610.16,0.000744
1611.91,0.00078
1613.67,0.000608
1615.43,0.000067
1617.19,0.000411
1618.95,0.000538
1620.7,0.000226
1622.46,0.000374
1624.22,0.000406
1625.98,0.00047
1627.73,0.000208
1629.49,0.000387
1631.25,0.00041
1633.01,0.000568
1634.77,0.000644
1636.52,0.000851
1638.28,0.000642
1640.04,0.000341
1641.8,0.000398
1643.55,0.000498
1645.31,0.000624
1647.07,0.000185
1648.83,0.00032
1650.59,0.000857
1652.34,0.00087
1654.1,0.001041
1655.86,0.00089
1657.62,0.000297
1659.38,0.000419
1661.13,0.000574
1662.89,0.00044
1664.65,0.0004
1666.41,0.000589
1668.16,0.000215
1669.92,0.000752
1671.68,0.000333
1673.44,0.000313
1675.2,0.000224
1676.95,0.000404
1678.71,0.000426
1680.47,0.000328
1682.23,0.000306
1683.98,0.000735
1685.74,0.000752
1687.5,0.000313
1689.26,0.000376
1691.02,0.000223
1692.77,0.000219
1694.53,0.000866
1696.29,0.000324
1698.05,0.000663
1699.8,0.000474
1701.56,0.000365
1703.32,0.000546
1705.08,0.000658
1706.84,0.000237
1708.59,0.00066
1710.35,0.000764
1712.11,0.000615
1713.87,0.000225
1715.63,0.000619
1717.38,0.000853
1719.14,0.000656
1720.9,0.000342
1722.66,0.000296
1724.41,0.000477
1726.17,0.000755
1727.93,0.000584
1729.69,0.000396
1731.45,0.000167
1733.2,0.000582
1734.96,0.000374
1736.72,0.000758
1738.48,0.001223
1740.23,0.000952
1741.99,0.000484
1743.75,0.001163
1745.51,0.000448
1747.27,0.000519
1749.02,0.00027
1750.78,0.000257
1752.54,0.00032
1754.3,0.00036
1756.05,0.000728
1757.81,0.000564
1759.57,0.000121
1761.33,0.000308
1763.09,0.000792
1764.84,0.000759
1766.6,0.000105
1768.36,0.000677
1770.12,0.001342
1771.88,0.000545
1773.63,0.000493
1775.39,0.00072
1777.15,0.000479
1778.91,0.000521
1780.66,0.000278
1782.42,0.000186
1784.18,0.000182
1785.94,0.000213
1787.7,0.000234
1789.45,0.000101
1791.21,0.00031
1792.97,0.000603
1794.73,0.000208
1796.48,0.000113
1798.24,0.000378
